Rank,Name,Elo,+,−,Games,score,opponent,draw
130,Pepsiman-3,2962,41,41,400,83%,2621,20%
131,kata-GaoGo-9x9,2961,40,40,370,69%,2613,13%
132,Zen-15.3-2c1g-2,2957,39,39,482,83%,2612,9%
133,Zen-15.3-2c1g-0.5,2957,48,48,336,83%,2511,10%
134,eg-b15s460Mv800,2956,30,30,831,76%,2594,11%
135,Waffle-9.2,2956,30,30,821,86%,2568,16%
136,galvanise_t420,2954,76,76,131,86%,2419,14%
137,MiniPepsiman-1n,2953,79,79,100,77%,2669,20%
138,rn.6.4.300-v400,2950,41,41,361,75%,2602,15%
139,HLeelaz_158_300po,2949,70,70,128,75%,2665,10%
140,Waffle-8.12,2946,30,30,961,88%,2513,13%
141,CLeelaz9Test8_6b,2946,83,83,126,89%,2541,11%
142,Waffle-9.3,2945,14,14,3884,86%,2549,14%
143,Waffle-8.6,2942,50,50,304,88%,2537,17%
144,rn630_945_cpu_p100,2940,4,4,36043,75%,2403,16%
145,Waffle-9.0,2940,47,47,320,87%,2571,18%
146,CrazyStone-0006-99,2939,2,2,212403,85%,2249,9%
147,sai_S1_9461_p2500,2936,47,47,287,75%,2611,13%
148,Waffle-9.1a,2935,37,37,488,83%,2585,19%
149,kohada0.3.6.3500,2933,49,49,278,71%,2438,9%
150,Zen-15.3-2c1g,2932,20,20,1740,81%,2617,9%
151,Singo,2931,74,74,130,85%,2559,20%
152,Waffle-8.2,2930,40,40,346,77%,2644,21%
153,Waffle-8.11,2930,29,29,808,84%,2576,17%
154,kohada0.3.4.2000,2928,54,54,233,68%,2405,12%
155,Zen-15.3-1c1g-0.5,2928,29,29,917,74%,2602,10%
156,rn.6.3.450-v400,2927,39,39,408,69%,2647,17%
157,khd0.6.365-1050Ti,2926,39,39,332,67%,2719,17%
158,Sai9-12b,2925,77,77,101,77%,2627,19%
159,KG_20b9_287_50p,2923,58,58,203,76%,2584,15%
160,CLeelaz9Test6,2922,71,71,127,85%,2500,19%
161,khd-0.8.1-1080Ti,2922,54,54,214,47%,2797,10%
162,Waffle-8.1,2922,33,33,572,82%,2599,20%
163,Waffle-8.7,2921,28,28,911,85%,2537,16%
164,khd-orangepi3b-F,2921,63,63,151,72%,2586,12%
165,Haruka-A,2921,87,87,111,85%,2514,7%
166,Waffle-8.9,2921,42,42,453,87%,2521,13%
167,rn.6.2.170-p10k,2916,51,51,246,69%,2580,15%
168,Waffle-8.4,2916,29,29,673,80%,2609,22%
169,kohada0.3.3-1080Ti,2914,16,16,2275,69%,2431,18%
170,Nats0601_v32_16t0g,2912,81,81,100,81%,2584,16%
171,CLeelaz9Test7,2910,73,73,124,85%,2488,18%
172,Waffle-8.10,2910,36,36,506,84%,2550,18%
173,galvanise_t382,2908,39,39,471,81%,2546,9%
174,Waffle-6.1,2907,41,41,333,79%,2590,22%
175,Waffle-8.5,2907,31,31,612,81%,2595,23%
176,katago_20b_800po,2906,69,69,160,83%,2473,9%
177,Zen-15.3-1c1g,2905,25,25,1153,80%,2577,9%
178,Waffle-9.1,2904,61,61,183,81%,2579,13%
179,HLeelaz_152_500po,2903,73,73,121,84%,2503,19%
180,Waffle-6.1-book,2902,36,36,397,77%,2618,24%
181,Charlie_020,2902,64,64,166,79%,2596,16%
182,HLeelaz_158_100po,2900,68,68,130,75%,2588,11%
183,Weights_33_400,2900,87,87,164,90%,2366,1%
184,ka_rc15b20s309v100,2899,38,38,376,66%,2519,17%
185,Hactar-7-221-p,2898,56,56,181,67%,2633,19%
186,CLeelaz9Test8_20b,2898,86,86,101,90%,2518,20%
187,bunton-202-100po,2897,62,62,166,72%,2531,11%
188,LZ20-128_H530,2896,41,41,401,66%,2654,1%
189,Charlie_030,2896,68,68,118,74%,2630,24%
190,Waffle-7.4,2891,45,45,281,72%,2669,20%
191,Zen-11.4n-16c,2890,16,16,2781,81%,2519,12%
192,HLeelaz_153_100po,2890,53,53,231,81%,2560,13%
193,rn.6.3.600-v400,2889,24,24,1208,72%,2528,15%
194,LZ20-128_600po,2889,58,58,186,66%,2713,2%
195,Waffle-8.8,2888,71,71,156,86%,2478,13%
196,Waffle-7.3,2888,30,30,689,78%,2597,16%
197,Waffle-8.0,2887,30,30,756,67%,2689,15%
198,Waffle-8.3,2886,71,71,119,76%,2559,18%
199,sai_S1_9461_p1000,2885,3,3,70542,66%,2489,14%
200,Aya_p1v1_linear10k,2884,42,42,416,82%,2401,7%
201,Hactar-7-221g-p,2883,56,56,221,83%,2553,14%
202,Waffle-7.2,2883,29,29,690,78%,2601,21%
203,Waffle-7.1,2883,53,53,221,81%,2553,20%
204,Sai9_8950_1600po,2882,56,56,185,76%,2611,18%
205,Waffle-7.5,2882,25,25,912,72%,2646,21%
206,Waffle-7.0,2882,29,29,702,78%,2587,20%
207,LZ20-128_800po,2880,44,44,357,69%,2631,1%
208,galvanise_t391,2880,49,49,237,73%,2609,13%
209,Waffle-6.0,2880,35,35,553,83%,2524,16%
210,k9b18_231025v1,2875,17,17,1365,65%,2598,40%
211,khd-orangepi3b-G,2874,46,46,259,65%,2587,19%
212,LZ20-128_400po,2871,61,61,169,64%,2688,1%
213,LZ6-128_R7-M260-6,2871,71,71,118,59%,2706,1%
214,khd-orangepi3b-J,2871,41,41,301,59%,2664,19%
215,kata13_170b10_v400,2871,49,49,326,70%,2488,10%
216,LZ6-128_R7-M260-5,2871,38,38,393,70%,2621,12%
217,CLeelaz9Test5,2870,62,62,183,85%,2454,16%
218,HLeelaz_162_100po,2869,59,59,186,82%,2409,19%
219,HLeelaz_105_6400po,2869,72,72,114,77%,2547,25%
220,Nats0531_p8v8_8t0g,2869,17,17,2416,79%,2545,11%
221,Zen-15.3-1c1g-0.3,2868,78,78,103,74%,2511,12%
222,kata12_104b15_v400,2868,29,29,784,77%,2568,13%
223,Nats0603_14b_4t2g,2868,36,36,512,77%,2593,11%
224,LZ20-128_300po,2866,50,50,242,62%,2690,2%
225,Zen-11.4n-8c,2866,33,33,564,74%,2577,14%
226,kohada0.3.2-1080Ti,2865,52,52,248,66%,2333,15%
227,galvanise_t397,2864,35,35,496,74%,2575,11%
228,Hactar-7-181a-p,2864,42,42,412,80%,2487,10%
